seqnum,date,Month5,who
184299,2025-05-15,137.60001,7
184306,2025-05-15,61.5,7
184447,2025-05-15,90.900002,7
186002,2025-05-15,100.8,7
184377,2025-05-15,146.20001,7
184413,2025-05-15,-9999,7
186098,2025-05-15,100.2,7
184479,2025-05-15,29.6,7
184326,2025-05-15,203.10001,7
184435,2025-05-15,226.3,7
184443,2025-05-15,119.8,7
186010,2025-05-15,104.2,7
186012,2025-05-15,177,7
186013,2025-05-15,157.40001,7
184340,2025-05-15,146.2,7
184367,2025-05-15,176.3,7
184371,2025-05-15,101.4,7
184418,2025-05-15,90.400002,7
184465,2025-05-15,58.599998,7
184472,2025-05-15,52.100002,7
186017,2025-05-15,143,7
184307,2025-05-15,82.199997,7
184338,2025-05-15,-9999,7
186019,2025-05-15,119.8,7
186021,2025-05-15,93.5,7
184356,2025-05-15,109.4,7
184365,2025-05-15,203.2,7
184369,2025-05-15,187,7
184374,2025-05-15,94.5,7
186023,2025-05-15,48.5,7
184469,2025-05-15,44.700001,7
184477,2025-05-15,-9999,7
184520,2025-05-15,71.900002,7
186024,2025-05-15,29.200001,7
186025,2025-05-15,77.400002,7
186026,2025-05-15,78.5,7
184385,2025-05-15,59.5,7
184406,2025-05-15,68,7
184407,2025-05-15,12,7
186029,2025-05-15,7.5999999,7
184424,2025-05-15,66.400002,7
186031,2025-05-15,34.5,7
186032,2025-05-15,-9999,7
186034,2025-05-15,58.900002,7
184315,2025-05-15,-9999,7
186036,2025-05-15,198.39999,7
184351,2025-05-15,127.39999,7
186097,2025-05-15,115.8,7
186037,2025-05-15,79.300003,7
184404,2025-05-15,-9999,7
186038,2025-05-15,180.10001,7
184456,2025-05-15,24.299999,7
184505,2025-05-15,297.60001,7
184318,2025-05-15,237.8,7
184360,2025-05-15,259.39999,7
184434,2025-05-15,-9999,7
184453,2025-05-15,148.60001,7
186041,2025-05-15,131.29999,7
184486,2025-05-15,167.5,7
184302,2025-05-15,93,7
186042,2025-05-15,119.7,7
184313,2025-05-15,70.400002,7
186095,2025-05-15,160,7
186044,2025-05-15,47.099998,7
184368,2025-05-15,21.6,7
186045,2025-05-15,67.900002,7
184392,2025-05-15,172.8,7
186047,2025-05-15,35.600002,7
184399,2025-05-15,89.199997,7
184422,2025-05-15,47,7
184427,2025-05-15,227.7,7
186048,2025-05-15,199.8,7
186049,2025-05-15,168.7,7
184455,2025-05-15,85.5,7
184457,2025-05-15,16.700001,7
184464,2025-05-15,99.400002,7
186051,2025-05-15,73.199997,7
186052,2025-05-15,-9999,7
186053,2025-05-15,-9999,7
184494,2025-05-15,63.200001,7
184516,2025-05-15,201.60001,7
184522,2025-05-15,56.700001,7
186054,2025-05-15,51.400002,7
184346,2025-05-15,120.8,7
186055,2025-05-15,379,7
186056,2025-05-15,103.1,7
184384,2025-05-15,207.29999,7
186058,2025-05-15,257.29999,7
184470,2025-05-15,64.700005,7
186061,2025-05-15,32.700001,7
186062,2025-05-15,107.7,7
186063,2025-05-15,188.09999,7
186064,2025-05-15,101.6,7
184308,2025-05-15,61.900002,7
184309,2025-05-15,52.200001,7
186066,2025-05-15,11.7,7
184454,2025-05-15,81,7
186071,2025-05-15,40.599998,7
184459,2025-05-15,55.800003,7
186073,2025-05-15,47.5,7
186074,2025-05-15,55.699997,7
184331,2025-05-15,307,7
186078,2025-05-15,93.700005,7
184339,2025-05-15,178.7,7
184379,2025-05-15,69.699997,7
184409,2025-05-15,231.70001,7
184410,2025-05-15,92,7
184471,2025-05-15,131.60001,7
184473,2025-05-15,272.40002,7
184491,2025-05-15,223.3,7
184319,2025-05-15,68,7
186082,2025-05-15,-9999,7
184343,2025-05-15,84.400002,7
186083,2025-05-15,42.200001,7
184363,2025-05-15,35.700001,7
184449,2025-05-15,23.6,7
186088,2025-05-15,67.200005,7
186090,2025-05-15,-9999,7
184500,2025-05-15,90.699997,7
186091,2025-05-15,53.399998,7
184511,2025-05-15,35.299999,7
186092,2025-05-15,34.299999,7
