seqnum,CodeNo,Station Name,StationID,Lon,Lat,year,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
184299,ETH012,Abomsa,ARABOM11,39.833,8.4667,2024,0,85.5,148.6,127.4,97.4,100.4,233.9,239.8,69.8,88.7,-9999,-9999
184302,ETH017,Addis Ababa Bole,SHADDI12,38.75,9.033333,2024,0.8,110.6,71.5,150.5,31.1,135.5,218.2,207.9,163.9,71.4,-9999,-9999
184306,ETH022,Adele,ARADEL11,39.90292,7.7505,2024,1.6,0.7,60,78,39.5,30.7,227.3,209.6,96.7,160.7,-9999,-9999
184307,ETH024,Adet,GOADET11,37.49312,11.2745,2024,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,120.2,101.7,-9999,-9999
184308,ETH027,Adigrat,TIADIG11,39.44683,14.27814,2024,-9999,-9999,29.5,86.1,28.5,50.1,197.8,286.5,17.5,-9999,-9999,-9999
184309,ETH032,Adwa,TIADWA11,38.877825,14.180802,2024,-9999,-9999,21.8,6.6,40.8,114.3,108.3,267.3,136.2,27.4,-9999,-9999
184313,ETH050,Alem Ketema,SHALEM11,39.033333,10.033333,2024,-9999,-9999,36.7,25.5,9.7,80,273.5,322.9,193.7,14.8,-9999,-9999
184315,ETH055,Alge,ILALGE11,35.666667,8.533333,2024,24,-9999,-9999,93.8,-9999,-9999,-9999,266.6,-9999,-9999,-9999,-9999
184318,ETH059,Aman,KFAMAN11,35.56667,6.95,2024,182.8,87.4,132.7,253.8,215.4,179.7,384.5,302.1,209.9,262,-9999,-9999
184319,ETH064,Amba Mariam,WOAMBA21,39.216667,11.203035,2024,28,22.9,123.2,40.8,12.2,117.9,715.1,556.4,76.5,42.3,-9999,-9999
184326,ETH086,Arba Minch,GGARBA12,37.55783,6.057167,2024,53.4,49.1,58.9,218.8,256,52.7,-9999,80.5,39.4,196.8,-9999,-9999
184331,ETH101,Arjo,WEARJO21,36.5,8.75,2024,4.4,105,80.2,115.8,264.9,331,311.9,490.7,542.2,269.2,-9999,-9999
184338,ETH130,Ayehu,GOAYEH21,36.793,10.661,2024,-9999,-9999,7.5,-9999,67.9,77.5,-9999,-9999,95.6,100.6,-9999,-9999
184339,ETH132,Ayira,WEAYIR11,35.55,9.1,2024,7.4,31.9,20.4,8.4,102.6,324.7,272.3,271.7,310.2,193.7,-9999,-9999
184340,ETH133,Aykel,GNAYKE11,37.0587,12.53968,2024,0,0,20.4,31,153.7,265,203,264.4,119.7,194,-9999,-9999
184343,ETH150,Bati,WOBATI21,40.01539,11.19667,2024,15.4,34,69.5,153.5,46.3,43.5,244.6,276,125,112.9,-9999,-9999
184346,ETH175,Billate,SIBILL11,38.08333,6.81667,2024,8.3,-9999,78.9,208.8,203.6,23.3,142.9,209.3,51.4,134.9,-9999,-9999
184351,ETH199,Bure,ILBURE11,35.1,8.2333,2024,2.4,16.8,113.3,-9999,137,215.7,230.2,272.2,297.6,-9999,-9999,-9999
