seqnum,date,Month9,who
184299,2025-09-15,160.39999,7
184306,2025-09-15,160.10001,7
184447,2025-09-15,122.89999,7
186002,2025-09-15,306,7
184377,2025-09-15,54,7
184413,2025-09-15,-9999,7
186098,2025-09-15,183.10001,7
184479,2025-09-15,117.2,7
184326,2025-09-15,122.1,7
184435,2025-09-15,170.10001,7
184443,2025-09-15,146.60001,7
186010,2025-09-15,-9999,7
186012,2025-09-15,108.7,7
186013,2025-09-15,138.60001,7
184340,2025-09-15,105.7,7
184367,2025-09-15,166.10001,7
184371,2025-09-15,224.8,7
184418,2025-09-15,223.5,7
184465,2025-09-15,269.70001,7
184472,2025-09-15,108.2,7
186017,2025-09-15,222.2,7
184307,2025-09-15,173.20001,7
184338,2025-09-15,-9999,7
186019,2025-09-15,340.89999,7
186021,2025-09-15,472,7
184356,2025-09-15,289.79999,7
184365,2025-09-15,285.70001,7
184369,2025-09-15,215.20001,7
184374,2025-09-15,123.3,7
186023,2025-09-15,228,7
184469,2025-09-15,208.8,7
184477,2025-09-15,169.70001,7
184520,2025-09-15,113.6,7
186024,2025-09-15,8.1999998,7
186025,2025-09-15,213.3,7
186026,2025-09-15,140.2,7
184385,2025-09-15,87.099998,7
184406,2025-09-15,171.5,7
184407,2025-09-15,105.5,7
186029,2025-09-15,0,7
184424,2025-09-15,115.8,7
186031,2025-09-15,74.5,7
186032,2025-09-15,-9999,7
186034,2025-09-15,83.300003,7
184315,2025-09-15,-9999,7
186036,2025-09-15,290.39999,7
184351,2025-09-15,-9999,7
186097,2025-09-15,308.20001,7
186037,2025-09-15,165,7
184404,2025-09-15,319.60001,7
186038,2025-09-15,279.60001,7
0,2025-09-15,-9999,7
184456,2025-09-15,76.899994,7
184505,2025-09-15,199.60001,7
184318,2025-09-15,220.5,7
184360,2025-09-15,207.2,7
184434,2025-09-15,269.60001,7
184453,2025-09-15,185.10001,7
186041,2025-09-15,112.60001,7
184486,2025-09-15,254,7
184302,2025-09-15,295.60001,7
186042,2025-09-15,281.60001,7
184313,2025-09-15,97.900002,7
186095,2025-09-15,139.5,7
186044,2025-09-15,145.8,7
184368,2025-09-15,113.9,7
186045,2025-09-15,-9999,7
184392,2025-09-15,232.8,7
186047,2025-09-15,120.2,7
184399,2025-09-15,101.2,7
184422,2025-09-15,136.2,7
184427,2025-09-15,197.39999,7
186048,2025-09-15,261.23001,7
186049,2025-09-15,375.70001,7
184455,2025-09-15,-9999,7
184457,2025-09-15,92.600006,7
184464,2025-09-15,55.400002,7
186051,2025-09-15,131.5,7
186052,2025-09-15,131.2,7
186053,2025-09-15,-9999,7
184494,2025-09-15,118.2,7
184516,2025-09-15,203,7
184522,2025-09-15,146.3,7
186054,2025-09-15,168.10001,7
184346,2025-09-15,92.199997,7
186055,2025-09-15,249.5,7
186056,2025-09-15,73.699997,7
184384,2025-09-15,182,7
186058,2025-09-15,76.600006,7
184470,2025-09-15,3.5999999,7
186061,2025-09-15,11.599999,7
186062,2025-09-15,198.5,7
186063,2025-09-15,155.39999,7
186064,2025-09-15,28.1,7
184308,2025-09-15,34.099998,7
184309,2025-09-15,121.1,7
186066,2025-09-15,35,7
184454,2025-09-15,91.800003,7
186071,2025-09-15,94.799995,7
184459,2025-09-15,13.3,7
186073,2025-09-15,41.400002,7
186074,2025-09-15,217.10001,7
184331,2025-09-15,435,7
186078,2025-09-15,183.60001,7
184339,2025-09-15,375.70001,7
184379,2025-09-15,174.2,7
184409,2025-09-15,377.10001,7
184410,2025-09-15,341.79999,7
184471,2025-09-15,218.8,7
184473,2025-09-15,357.20001,7
184491,2025-09-15,231.3,7
184319,2025-09-15,16,7
186082,2025-09-15,114.10001,7
184343,2025-09-15,74.5,7
186083,2025-09-15,87.900002,7
184363,2025-09-15,66.800003,7
184449,2025-09-15,80.099998,7
186088,2025-09-15,117.7,7
186090,2025-09-15,20.6,7
184500,2025-09-15,83,7
186091,2025-09-15,80.799995,7
184511,2025-09-15,56.900002,7
186092,2025-09-15,85.900002,7
