seqnum,date,Month7,who
184299,2025-07-15,196.89999,7
184306,2025-07-15,105.5,7
184447,2025-07-15,160.8,7
186002,2025-07-15,170.2,7
184377,2025-07-15,0,7
184413,2025-07-15,-9999,7
186098,2025-07-15,33.200001,7
184479,2025-07-15,96,7
184326,2025-07-15,84.699997,7
184435,2025-07-15,152.10001,7
184443,2025-07-15,13.7,7
186010,2025-07-15,44.400002,7
186012,2025-07-15,153.3,7
186013,2025-07-15,259.60001,7
184340,2025-07-15,251.29999,7
184367,2025-07-15,166.7,7
184371,2025-07-15,472.70001,7
184418,2025-07-15,275.20001,7
184465,2025-07-15,152.2,7
184472,2025-07-15,279.29999,7
186017,2025-07-15,244.5,7
184307,2025-07-15,280.39999,7
184338,2025-07-15,-9999,7
186019,2025-07-15,510.70001,7
186021,2025-07-15,329.89999,7
184356,2025-07-15,240.60001,7
184365,2025-07-15,336.10001,7
184369,2025-07-15,198.79999,7
184374,2025-07-15,303.20001,7
186023,2025-07-15,162.7,7
184469,2025-07-15,427.70001,7
184477,2025-07-15,331.90002,7
184520,2025-07-15,341.39999,7
186024,2025-07-15,-9999,7
186025,2025-07-15,125.8,7
186026,2025-07-15,-9999,7
184385,2025-07-15,43,7
184406,2025-07-15,74.900002,7
184407,2025-07-15,156,7
186029,2025-07-15,10,7
184424,2025-07-15,59.5,7
186031,2025-07-15,43.299999,7
186032,2025-07-15,0,7
186034,2025-07-15,139,7
184315,2025-07-15,-9999,7
186036,2025-07-15,285.60001,7
184351,2025-07-15,-9999,7
186097,2025-07-15,252.8,7
186037,2025-07-15,378.10001,7
184404,2025-07-15,-9999,7
186038,2025-07-15,206.39999,7
184456,2025-07-15,152.8,7
184505,2025-07-15,155.10001,7
184318,2025-07-15,390.20001,7
184360,2025-07-15,289.10001,7
184434,2025-07-15,278,7
184453,2025-07-15,316.79999,7
186041,2025-07-15,-9999,7
184486,2025-07-15,234.60001,7
184302,2025-07-15,207.79999,7
186042,2025-07-15,256,7
184313,2025-07-15,284.60001,7
186095,2025-07-15,-9999,7
186044,2025-07-15,339.79999,7
184368,2025-07-15,362.10001,7
186045,2025-07-15,226.10001,7
184392,2025-07-15,203.7,7
186047,2025-07-15,313.79999,7
184399,2025-07-15,296.10001,7
184422,2025-07-15,490.39999,7
184427,2025-07-15,162.3,7
186048,2025-07-15,313.29999,7
186049,2025-07-15,345.10001,7
184455,2025-07-15,-9999,7
184457,2025-07-15,452.39999,7
184464,2025-07-15,155.89999,7
186051,2025-07-15,374.89999,7
186052,2025-07-15,222.60001,7
186053,2025-07-15,-9999,7
184494,2025-07-15,269.79999,7
184516,2025-07-15,315.89999,7
184522,2025-07-15,174.89999,7
186054,2025-07-15,74.599998,7
184346,2025-07-15,88.900002,7
186055,2025-07-15,138.8,7
186056,2025-07-15,14.1,7
184384,2025-07-15,90.099998,7
186058,2025-07-15,3.2,7
184470,2025-07-15,7.5,7
186061,2025-07-15,10.599999,7
186062,2025-07-15,-9999,7
186063,2025-07-15,182.39999,7
186064,2025-07-15,2.2,7
184308,2025-07-15,147.8,7
184309,2025-07-15,164.60001,7
186066,2025-07-15,135.3,7
184454,2025-07-15,109.2,7
186071,2025-07-15,80,7
184459,2025-07-15,105.1,7
186073,2025-07-15,239.60001,7
186074,2025-07-15,200.5,7
184331,2025-07-15,428.20001,7
186078,2025-07-15,168.2,7
184339,2025-07-15,268.79999,7
184379,2025-07-15,137.89999,7
184409,2025-07-15,328.29999,7
184410,2025-07-15,350.70001,7
184471,2025-07-15,205.5,7
184473,2025-07-15,318.79999,7
184491,2025-07-15,334.79999,7
184319,2025-07-15,241,7
186082,2025-07-15,-9999,7
184343,2025-07-15,126.3,7
186083,2025-07-15,155.8,7
184363,2025-07-15,212.3,7
184449,2025-07-15,218.39999,7
186088,2025-07-15,261.60001,7
186090,2025-07-15,-9999,7
184500,2025-07-15,165.89999,7
186091,2025-07-15,-9999,7
184511,2025-07-15,203.3,7
186092,2025-07-15,336.89999,7
